Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
170901,FULTON,NORTHVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,7,15.5,,,,,ELEMENTARY,SCHOOL DISTRICT,131 S 3RD ST,NORTHVILLE,NY,12134,"(43.2246, -74.1758)"
140703,ERIE,CLEVELAND HILL UNION FREE SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,40,21.1,48,25.3,88,46.5,MIDDLE/HIGH,SCHOOL DISTRICT,105 MAPLEVIEW RD,CHEEKTOWAGA,NY,14225,"(42.9417, -78.7831)"
48,PUTNAM,PUTNAM,HUDSON VALLEY,2016-2018,750,16.2,735,15.9,1485,32.1,DISTRICT TOTAL,COUNTY,,,,,
280230,NASSAU,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,77,16.6,112,24.1,189,40.6,ELEMENTARY,SCHOOL DISTRICT,175 N CENTRAL AVE,VALLEY STREAM,NY,11580,"(40.6727, -73.7095)"
22302,ALLEGANY,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,67,19.8,31,9.1,98,29.0,DISTRICT TOTAL,SCHOOL DISTRICT,5476 RT 305,CUBA,NY,14727,"(42.2385, -78.2748)"
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2010-2012,327,17.0,343,17.8,670,34.8,DISTRICT TOTAL,COUNTY,,,,,
620803,ULSTER,HIGHLAND CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,62,16.7,72,19.4,134,36.1,ELEMENTARY,SCHOOL DISTRICT,320 PANCAKE HOLLOW RD,HIGHLAND,NY,12528,"(41.725, -74.0111)"
511301,ST. LAWRENCE,HERMON-DEKALB CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,7,15.9,13,29.5,20,45.5,MIDDLE/HIGH,SCHOOL DISTRICT,709 E DEKALB RD,DEKALB JUNCTION,NY,13630,"(44.4833, -75.3029)"
61001,CHAUTAUQUA,BEMUS POINT CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,32,24.8,17,13.2,49,38.0,MIDDLE/HIGH,SCHOOL DISTRICT,3980 DUTCH HOLLOW RD,BEMUS POINT,NY,14712,"(42.1491, -79.3455)"
280204,NASSAU,NORTH BELLMORE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,2616 MARTIN AVE,BELLMORE,NY,11710,"(40.6744, -73.5323)"
132201,DUTCHESS,MILLBROOK CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,24,18.6,21,16.3,45,34.9,ELEMENTARY,SCHOOL DISTRICT,43 ALDEN PL,MILLBROOK,NY,12545,"(41.7829, -73.6902)"
210302,HERKIMER,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,35,18.4,23,12.1,58,30.5,ELEMENTARY,SCHOOL DISTRICT,5447 STATE RT 28,NEWPORT,NY,13416,"(43.1636, -75.0016)"
513102,ST. LAWRENCE,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,9,10.7,7,8.3,16,19.0,MIDDLE/HIGH,SCHOOL DISTRICT,2512 COUNTY HWY 24,RUSSELL,NY,13684,"(44.4301, -75.1459)"
131602,DUTCHESS,SPACKENKILL UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,77,15.5,71,14.3,148,29.9,DISTRICT TOTAL,SCHOOL DISTRICT,15 CROFT RD,POUGHKEEPSIE,NY,12603,"(41.6609, -73.9238)"
161801,FRANKLIN,SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2016-2018,,,5,29.4,,,MIDDLE/HIGH,SCHOOL DISTRICT,92 N MAIN ST,SAINT REGIS FALLS,NY,12980,"(44.6793, -74.5462)"
42801,CATTARAUGUS,GOWANDA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,36,21.4,39,23.2,75,44.6,MIDDLE/HIGH,SCHOOL DISTRICT,10674 PROSPECT ST,GOWANDA,NY,14070,"(42.4638, -78.9481)"
412902,ONEIDA,WHITESBORO CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,74,15.5,66,13.8,140,29.4,ELEMENTARY,SCHOOL DISTRICT,65 ORISKANY BLVD-STE 1,WHITESBORO,NY,13492,"(43.1163, -75.2904)"
431301,ONTARIO,PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,45,12.7,64,18.1,109,30.9,ELEMENTARY,SCHOOL DISTRICT,1490 RT 488,CLIFTON SPRINGS,NY,14432,"(42.961, -77.0964)"
580106,SUFFOLK,AMITYVILLE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2012-2014,71,17.9,97,24.4,168,42.3,MIDDLE/HIGH,SCHOOL DISTRICT,150 PARK AVE,AMITYVILLE,NY,11701,"(40.6773, -73.4184)"
150203,ESSEX,CROWN POINT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,,,6,27.2,,,MIDDLE/HIGH,SCHOOL DISTRICT,2758 MAIN ST,CROWN POINT,NY,12928,"(43.951, -73.4296)"
530101,SCHENECTADY,DUANESBURG CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,47,20.1,34,14.5,81,34.6,DISTRICT TOTAL,SCHOOL DISTRICT,133 SCHOOL DR,DELANSON,NY,12053,"(42.7489, -74.1872)"
190301,GREENE,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,27,16.2,47,28.1,74,44.3,MIDDLE/HIGH,SCHOOL DISTRICT,424 MAIN ST,CAIRO,NY,12413,"(42.2983, -73.9975)"
581012,SUFFOLK,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2012-2014,26,12.5,30,14.4,56,26.9,ELEMENTARY,SCHOOL DISTRICT,385 DEPOT LN,CUTCHOGUE,NY,11935,"(41.0139, -72.4856)"
44,ORANGE,ORANGE,HUDSON VALLEY,2010-2012,2178,16.1,2364,17.5,4542,33.7,DISTRICT TOTAL,COUNTY,,,,,
